a	啊阿呵吖锕
ai	爱哎哀埃挨癌矮艾碍唉隘
an	安按暗案岸俺谙鞍氨铵
ang	昂肮盎
ao	奥熬袄傲澳懊拗坳凹骜
e	饿额鹅恶蛾厄扼鄂谔萼
ei	诶欸
en	恩摁蒽
eng	鞥
er	而二儿耳尔饵贰洱迩
o	哦噢喔
ou	欧偶呕殴藕鸥讴
ba	八吧把爸巴拔罢坝霸扒靶疤
bai	百白摆败拜柏佰掰
ban	半办班般版搬伴板扮拌瓣扳斑
bang	帮棒绑磅镑傍榜膀
bao	报包保宝抱暴薄爆饱堡鲍褒
bei	被北倍背杯备悲辈卑贝狈
ben	本奔笨苯畚
beng	蹦崩绷甭泵迸
bi	比必笔闭鼻避逼彼鄙碧币弊庇
bian	变边便遍辨辩编贬扁鞭
biao	表标彪膘镖飙
bie	别憋鳖瘪
bin	宾滨彬斌濒缤
bing	并病冰兵柄丙饼秉
bo	拨波播伯泊博勃搏膊薄驳
bu	不布步部补捕卜哺
pa	怕爬扒趴啪耙琶帕
pai	排牌派拍徘湃
pan	盘判盼攀畔叛
pang	旁胖庞乓螃彷
pao	跑炮泡抛袍刨咆
pei	陪配赔佩培沛
pen	盆喷
peng	朋碰捧棚蓬膨鹏抨烹
pi	皮批僻屁譬劈疲琵坯
pian	片篇偏骗翩
piao	票飘漂瓢
pie	撇瞥苤
pin	品贫拼聘频
ping	平评瓶凭萍屏乒
po	破迫颇婆泼魄泊
pu	铺扑朴普浦谱脯
ma	妈马吗嘛麻骂码蚂
mai	买卖埋迈麦脉
man	满慢漫蛮瞒蔓
mang	忙茫盲莽芒
mao	猫毛冒帽矛茂贸
me	么麽
mei	没美妹每媒梅眉
men	们门闷扪
meng	梦蒙猛萌盟懵
mi	米密迷蜜秘眯谜弥
mian	面免棉绵眠勉缅娩
miao	苗描秒妙庙渺藐
mie	灭蔑
min	民敏闽悯
ming	明名命鸣铭
miu	谬缪
mo	没末莫摸模磨墨默膜魔
mou	某谋牟眸
mu	母木目幕亩慕牧募
fa	发法罚伐乏阀
fan	反饭犯烦翻范繁泛凡返帆
fang	放方房防访仿纺芳
fei	非飞费肥肺废匪
fen	分份纷奋愤粉坟吩
feng	风封丰逢峰锋蜂凤疯缝
fo	佛
fou	否缶
fu	服福夫妇付复父符府腐辅附腹肤
da	大打达答搭
dai	大代带待戴袋呆逮
dan	但单蛋淡担胆旦弹氮
dang	当党档荡挡
dao	到道倒刀岛盗导稻
de	的地得德
dei	得
den	扽
deng	等灯登邓凳瞪
di	的地第低底弟敌帝递
dia	嗲
dian	点电店典殿淀垫
diao	掉调吊钓雕凋叼
die	跌叠爹蝶迭谍
ding	定顶丁钉订叮盯
diu	丢
dong	动东懂冬洞冻董栋
dou	都斗豆抖逗兜陡
du	读度毒独堵赌杜渡肚
duan	断段短端缎锻
dui	对队堆兑
dun	顿吨蹲盾钝
duo	多朵躲夺舵堕
ta	他她它塔踏塌獭挞
tai	太台抬态泰
tan	谈贪坛弹探摊滩叹瘫
tang	堂糖汤躺烫趟
tao	逃桃讨套陶涛
te	特忑
teng	疼腾藤誊
ti	提题体替踢梯
tian	天田甜添填舔
tiao	条跳挑调
tie	铁贴帖
ting	听停庭挺厅
tong	同通痛统桶铜
tou	头投透偷
tu	土图突吐途
tuan	团湍抟
tui	推退腿
tun	吞屯臀
tuo	拖脱托驼妥
na	那拿哪纳娜呐
nai	奶耐乃奈
nan	南难男楠
nang	囊攮馕
nao	闹脑恼挠
ne	呢讷
nei	内
nen	嫩恁
neng	能
ni	你尼泥拟逆溺腻匿倪霓妮睨
nian	年念黏捻撵蔫
niang	娘酿
niao	鸟尿袅
nie	捏聂镍孽涅
nin	您
ning	宁凝拧柠狞
niu	牛纽扭钮
nong	农浓弄脓
nou	耨
